id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,primary_color,secondary_color,finish,protection_type
SC1463,Comfy 5,40,158.63,Scratch-resistant seat cover.,seatandcover,BrandB,17.49,3.57,"(1.42, 1.12, 1.4)","{'Leather': 63, 'Foam': 25}",undefined,2980B9,F5F5F5,glossy,scratch
SC6408,Premium 7,40,211.35,Durable seat cover.,seatandcover,BrandB,17.42,3.54,"(1.3, 1.29, 1.05)","{'Leather': 72, 'Foam': 24}",medium,DAA520,708090,glossy,dust
SC5240,Comfy 4,12,114.23,Luxurious seat cover.,seatandcover,BrandA,17.55,2.78,"(1.25, 1.22, 1.33)","{'Leather': 75, 'Foam': 37}",low,2980B9,FF0000,unfinished,light
SC7033,Luxury 5,11,108.9,Comfortable seat cover.,seatandcover,BrandC,17.53,3.8,"(1.23, 1.13, 1.14)","{'Leather': 73, 'Foam': 31}",low,708090,708090,matte,light
SC3696,Comfy 8,30,212.27,Comfortable seat cover.,seatandcover,BrandC,17.6,3.58,"(1.14, 1.4, 1.35)","{'Leather': 80, 'Foam': 31}",low,8B4513,F5DEB3,unfinished,dust
SC1004,UltraSoft 9,9,151.98,Durable seat cover.,seatandcover,BrandB,17.47,2.64,"(1.13, 1.19, 1.16)","{'Leather': 71, 'Foam': 29}",low,708090,2980B9,matte,uv
SC3265,Comfy 1,13,104.51,Luxurious seat cover.,seatandcover,BrandC,17.55,3.41,"(1.11, 1.19, 1.42)","{'Leather': 75, 'Foam': 23}",high,DAA520,708090,matte,scratch
SC3977,Comfy 9,24,109.21,Luxurious seat cover.,seatandcover,BrandA,17.52,2.94,"(1.05, 1.38, 1.05)","{'Leather': 72, 'Foam': 34}",high,8B4513,D4AF37,unfinished,dust
SC5798,UltraSoft 2,48,103.57,Luxurious seat cover.,seatandcover,BrandC,17.47,3.86,"(1.39, 1.36, 1.03)","{'Leather': 67, 'Foam': 40}",low,DAA520,8B4513,glossy,scratch
SC2743,Premium 7,29,117.57,Durable seat cover.,seatandcover,BrandB,17.55,3.92,"(1.41, 1.06, 1.49)","{'Leather': 78, 'Foam': 21}",low,708090,FF0000,glossy,uv
SC4326,UltraSoft 4,47,123.25,Durable seat cover.,seatandcover,BrandA,17.58,3.11,"(1.13, 1.39, 1.39)","{'Leather': 79, 'Foam': 38}",low,F5F5F5,FF0000,glossy,light
SC6516,Luxury 1,15,205.19,Durable seat cover.,seatandcover,BrandB,17.56,3.76,"(1.27, 1.13, 1.48)","{'Leather': 62, 'Foam': 30}",medium,F5DEB3,FF5733,glossy,scratch
SC2852,UltraSoft 5,6,231.01,Comfortable seat cover.,seatandcover,BrandA,17.52,3.75,"(1.0, 1.07, 1.16)","{'Leather': 76, 'Foam': 32}",medium,DAA520,DAA520,glossy,light
SC4210,Comfy 6,22,145.9,Scratch-resistant seat cover.,seatandcover,BrandA,17.51,3.43,"(1.29, 1.39, 1.47)","{'Leather': 65, 'Foam': 24}",high,FF5733,DAA520,glossy,light
SC1531,Comfy 5,4,238.41,Luxurious seat cover.,seatandcover,BrandC,17.51,3.16,"(1.2, 1.19, 1.21)","{'Leather': 61, 'Foam': 37}",high,F5F5F5,F5F5F5,matte,scratch
SC9483,Comfy 2,50,236.4,Comfortable seat cover.,seatandcover,BrandB,17.57,3.1,"(1.2, 1.13, 1.02)","{'Leather': 76, 'Foam': 39}",undefined,D4AF37,2980B9,matte,uv
SC7661,Premium 1,50,193.0,Comfortable seat cover.,seatandcover,BrandB,17.41,3.02,"(1.2, 1.0, 1.4)","{'Leather': 75, 'Foam': 21}",undefined,FF0000,F5DEB3,glossy,light
SC4460,Premium 8,14,222.27,Scratch-resistant seat cover.,seatandcover,BrandA,17.54,3.97,"(1.05, 1.3, 1.1)","{'Leather': 62, 'Foam': 23}",low,F5F5F5,2980B9,matte,uv
SC4824,Premium 5,25,230.64,Scratch-resistant seat cover.,seatandcover,BrandC,17.46,3.16,"(1.37, 1.3, 1.36)","{'Leather': 78, 'Foam': 32}",high,D4AF37,2F4F4F,unfinished,scratch
SC1604,Comfy 6,25,212.61,Comfortable seat cover.,seatandcover,BrandC,17.59,3.59,"(1.35, 1.31, 1.16)","{'Leather': 80, 'Foam': 37}",medium,FF5733,F5F5F5,glossy,light
SC6308,UltraSoft 5,19,183.66,Luxurious seat cover.,seatandcover,BrandB,17.51,2.89,"(1.2, 1.16, 1.36)","{'Leather': 77, 'Foam': 25}",medium,FF0000,D4AF37,unfinished,uv
SC2574,Luxury 4,7,201.51,Comfortable seat cover.,seatandcover,BrandB,17.47,2.74,"(1.09, 1.35, 1.1)","{'Leather': 79, 'Foam': 36}",undefined,708090,2F4F4F,glossy,scratch
SC4174,Premium 7,34,161.4,Comfortable seat cover.,seatandcover,BrandA,17.48,3.49,"(1.1, 1.4, 1.02)","{'Leather': 77, 'Foam': 36}",medium,708090,2F4F4F,glossy,uv
SC3672,Comfy 4,2,132.67,Durable seat cover.,seatandcover,BrandB,17.45,3.5,"(1.35, 1.49, 1.41)","{'Leather': 73, 'Foam': 27}",medium,D4AF37,8B4513,unfinished,light
SC2852,Luxury 9,18,140.32,Luxurious seat cover.,seatandcover,BrandC,17.51,3.33,"(1.35, 1.47, 1.31)","{'Leather': 72, 'Foam': 37}",medium,F5DEB3,2F4F4F,matte,dust
SC2072,Premium 9,45,160.71,Durable seat cover.,seatandcover,BrandB,17.41,3.39,"(1.27, 1.19, 1.06)","{'Leather': 65, 'Foam': 20}",low,8B4513,DAA520,glossy,dust
SC9833,UltraSoft 4,22,232.64,Durable seat cover.,seatandcover,BrandA,17.4,3.99,"(1.19, 1.23, 1.14)","{'Leather': 70, 'Foam': 22}",medium,FF5733,D4AF37,glossy,uv
SC3132,Premium 3,38,173.67,Durable seat cover.,seatandcover,BrandB,17.46,3.56,"(1.49, 1.39, 1.03)","{'Leather': 69, 'Foam': 36}",high,708090,FF5733,matte,dust
SC3611,UltraSoft 9,25,198.14,Scratch-resistant seat cover.,seatandcover,BrandB,17.45,3.06,"(1.09, 1.42, 1.08)","{'Leather': 78, 'Foam': 20}",high,2F4F4F,D4AF37,glossy,light
SC1639,Comfy 4,28,199.25,Scratch-resistant seat cover.,seatandcover,BrandA,17.46,3.35,"(1.5, 1.38, 1.1)","{'Leather': 65, 'Foam': 24}",high,8B4513,FF5733,glossy,scratch
SC4503,Luxury 6,34,215.64,Luxurious seat cover.,seatandcover,BrandC,17.43,3.8,"(1.22, 1.01, 1.29)","{'Leather': 79, 'Foam': 39}",undefined,D4AF37,FF5733,matte,uv
SC4705,UltraSoft 7,35,159.92,Comfortable seat cover.,seatandcover,BrandC,17.53,3.23,"(1.16, 1.13, 1.36)","{'Leather': 77, 'Foam': 36}",undefined,FF5733,FF0000,glossy,scratch
SC5434,UltraSoft 5,44,192.3,Scratch-resistant seat cover.,seatandcover,BrandC,17.49,2.94,"(1.47, 1.06, 1.3)","{'Leather': 78, 'Foam': 37}",medium,8B4513,F5DEB3,unfinished,light
SC6034,Premium 6,48,241.63,Luxurious seat cover.,seatandcover,BrandB,17.58,3.48,"(1.25, 1.37, 1.35)","{'Leather': 77, 'Foam': 29}",high,8B4513,8B4513,matte,light
SC3640,Comfy 3,37,189.45,Durable seat cover.,seatandcover,BrandC,17.52,3.34,"(1.04, 1.24, 1.11)","{'Leather': 68, 'Foam': 36}",undefined,708090,F5DEB3,matte,dust
SC2271,Premium 7,36,210.1,Comfortable seat cover.,seatandcover,BrandB,17.48,3.72,"(1.2, 1.35, 1.43)","{'Leather': 77, 'Foam': 32}",undefined,F5F5F5,2F4F4F,matte,light
SC3376,Premium 5,10,191.59,Comfortable seat cover.,seatandcover,BrandB,17.49,3.78,"(1.01, 1.36, 1.22)","{'Leather': 79, 'Foam': 24}",medium,FF0000,D4AF37,glossy,uv
SC4683,UltraSoft 5,43,228.9,Comfortable seat cover.,seatandcover,BrandC,17.55,3.98,"(1.39, 1.15, 1.23)","{'Leather': 60, 'Foam': 23}",medium,FF0000,F5F5F5,unfinished,uv
SC4576,Premium 9,48,100.58,Comfortable seat cover.,seatandcover,BrandC,17.41,3.58,"(1.47, 1.04, 1.31)","{'Leather': 62, 'Foam': 34}",medium,8B4513,D4AF37,unfinished,light
SC1291,UltraSoft 6,48,241.58,Luxurious seat cover.,seatandcover,BrandC,17.5,3.03,"(1.03, 1.31, 1.14)","{'Leather': 79, 'Foam': 40}",undefined,DAA520,708090,unfinished,light
SC7807,UltraSoft 7,8,105.55,Scratch-resistant seat cover.,seatandcover,BrandC,17.48,3.06,"(1.27, 1.16, 1.18)","{'Leather': 76, 'Foam': 23}",medium,FF0000,FF5733,glossy,scratch
SC5779,Comfy 3,3,171.39,Comfortable seat cover.,seatandcover,BrandA,17.45,2.71,"(1.19, 1.47, 1.03)","{'Leather': 74, 'Foam': 39}",medium,DAA520,FF0000,unfinished,light
SC4549,Premium 3,1,166.87,Durable seat cover.,seatandcover,BrandC,17.43,2.96,"(1.39, 1.4, 1.16)","{'Leather': 63, 'Foam': 21}",high,708090,8B4513,unfinished,uv
SC1008,UltraSoft 2,11,193.88,Scratch-resistant seat cover.,seatandcover,BrandB,17.4,3.69,"(1.42, 1.01, 1.31)","{'Leather': 80, 'Foam': 38}",medium,D4AF37,8B4513,unfinished,scratch
SC6857,Comfy 3,2,214.27,Scratch-resistant seat cover.,seatandcover,BrandC,17.49,2.74,"(1.31, 1.26, 1.39)","{'Leather': 67, 'Foam': 25}",high,F5DEB3,DAA520,unfinished,light
SC8908,Comfy 1,14,208.32,Scratch-resistant seat cover.,seatandcover,BrandB,17.48,2.71,"(1.08, 1.42, 1.5)","{'Leather': 79, 'Foam': 26}",undefined,F5F5F5,F5F5F5,matte,dust
SC6605,Luxury 6,3,149.78,Durable seat cover.,seatandcover,BrandA,17.54,3.99,"(1.18, 1.26, 1.25)","{'Leather': 71, 'Foam': 30}",medium,FF5733,F5DEB3,matte,dust
SC5979,Luxury 2,17,235.54,Comfortable seat cover.,seatandcover,BrandC,17.41,3.21,"(1.43, 1.43, 1.44)","{'Leather': 61, 'Foam': 28}",low,DAA520,8B4513,matte,uv
SC3596,UltraSoft 2,49,227.94,Durable seat cover.,seatandcover,BrandB,17.47,2.83,"(1.21, 1.47, 1.32)","{'Leather': 77, 'Foam': 22}",undefined,FF0000,8B4513,unfinished,scratch
SC2037,Comfy 9,22,185.13,Luxurious seat cover.,seatandcover,BrandA,17.41,3.21,"(1.22, 1.26, 1.42)","{'Leather': 68, 'Foam': 20}",undefined,F5F5F5,2F4F4F,unfinished,uv
SC9517,UltraSoft 4,5,122.99,Luxurious seat cover.,seatandcover,BrandB,17.57,3.38,"(1.18, 1.05, 1.37)","{'Leather': 61, 'Foam': 24}",undefined,F5F5F5,FF0000,matte,scratch
SC1738,Premium 7,43,243.62,Luxurious seat cover.,seatandcover,BrandB,17.41,3.65,"(1.17, 1.34, 1.02)","{'Leather': 79, 'Foam': 38}",high,DAA520,FF0000,glossy,uv
SC2684,UltraSoft 9,14,224.79,Scratch-resistant seat cover.,seatandcover,BrandC,17.52,3.93,"(1.15, 1.14, 1.35)","{'Leather': 74, 'Foam': 31}",undefined,F5F5F5,8B4513,unfinished,uv
SC4757,UltraSoft 7,17,248.8,Comfortable seat cover.,seatandcover,BrandB,17.49,2.88,"(1.01, 1.0, 1.3)","{'Leather': 65, 'Foam': 23}",undefined,FF0000,F5DEB3,glossy,light
SC2738,Luxury 7,49,154.86,Durable seat cover.,seatandcover,BrandA,17.5,2.99,"(1.0, 1.03, 1.1)","{'Leather': 68, 'Foam': 35}",low,D4AF37,FF5733,unfinished,uv
SC9326,Luxury 2,11,146.09,Scratch-resistant seat cover.,seatandcover,BrandA,17.47,3.89,"(1.22, 1.17, 1.42)","{'Leather': 60, 'Foam': 30}",undefined,2980B9,F5DEB3,glossy,scratch
SC8953,Comfy 6,18,182.03,Durable seat cover.,seatandcover,BrandB,17.52,3.32,"(1.18, 1.06, 1.04)","{'Leather': 80, 'Foam': 34}",high,F5F5F5,2980B9,unfinished,light
SC3198,Comfy 4,45,165.3,Durable seat cover.,seatandcover,BrandC,17.49,2.67,"(1.09, 1.46, 1.17)","{'Leather': 63, 'Foam': 39}",medium,D4AF37,F5DEB3,matte,uv
SC9354,UltraSoft 1,14,204.57,Scratch-resistant seat cover.,seatandcover,BrandB,17.59,3.85,"(1.26, 1.39, 1.04)","{'Leather': 69, 'Foam': 35}",undefined,DAA520,D4AF37,matte,uv
SC5438,UltraSoft 7,32,158.69,Scratch-resistant seat cover.,seatandcover,BrandB,17.49,3.21,"(1.07, 1.4, 1.03)","{'Leather': 66, 'Foam': 40}",high,708090,F5DEB3,glossy,dust
SC6425,UltraSoft 3,22,145.61,Scratch-resistant seat cover.,seatandcover,BrandB,17.53,3.26,"(1.46, 1.07, 1.39)","{'Leather': 75, 'Foam': 22}",medium,D4AF37,8B4513,glossy,dust
SC7788,Comfy 2,14,223.03,Durable seat cover.,seatandcover,BrandC,17.41,2.84,"(1.44, 1.35, 1.12)","{'Leather': 80, 'Foam': 26}",low,2980B9,F5DEB3,glossy,dust
SC5595,Comfy 1,31,100.28,Luxurious seat cover.,seatandcover,BrandA,17.49,2.82,"(1.03, 1.49, 1.12)","{'Leather': 72, 'Foam': 26}",medium,DAA520,8B4513,glossy,light
SC5015,Luxury 2,2,141.3,Luxurious seat cover.,seatandcover,BrandC,17.58,2.9,"(1.39, 1.47, 1.28)","{'Leather': 76, 'Foam': 32}",medium,2980B9,DAA520,glossy,light
SC9605,Comfy 2,46,115.56,Comfortable seat cover.,seatandcover,BrandC,17.46,3.61,"(1.34, 1.04, 1.44)","{'Leather': 75, 'Foam': 27}",undefined,FF0000,2980B9,matte,scratch
SC8904,Premium 7,4,169.84,Durable seat cover.,seatandcover,BrandA,17.59,2.51,"(1.14, 1.09, 1.47)","{'Leather': 71, 'Foam': 33}",low,F5F5F5,FF0000,unfinished,scratch
SC4825,UltraSoft 6,14,134.82,Scratch-resistant seat cover.,seatandcover,BrandA,17.46,2.71,"(1.42, 1.42, 1.36)","{'Leather': 68, 'Foam': 23}",medium,DAA520,D4AF37,matte,scratch
SC5794,Comfy 9,45,189.17,Scratch-resistant seat cover.,seatandcover,BrandC,17.56,3.18,"(1.41, 1.03, 1.19)","{'Leather': 78, 'Foam': 35}",medium,F5F5F5,FF0000,unfinished,scratch
SC6544,Premium 6,46,174.14,Comfortable seat cover.,seatandcover,BrandC,17.45,3.74,"(1.43, 1.35, 1.2)","{'Leather': 68, 'Foam': 21}",low,708090,8B4513,matte,light
SC2032,UltraSoft 2,34,241.66,Comfortable seat cover.,seatandcover,BrandA,17.42,2.57,"(1.08, 1.23, 1.49)","{'Leather': 62, 'Foam': 26}",high,F5F5F5,DAA520,unfinished,dust
SC8823,UltraSoft 6,42,118.04,Comfortable seat cover.,seatandcover,BrandC,17.6,3.45,"(1.09, 1.32, 1.2)","{'Leather': 66, 'Foam': 32}",medium,FF0000,FF0000,glossy,dust
SC2045,UltraSoft 3,6,209.72,Durable seat cover.,seatandcover,BrandC,17.53,3.95,"(1.21, 1.34, 1.07)","{'Leather': 66, 'Foam': 30}",undefined,8B4513,D4AF37,unfinished,uv
SC5189,UltraSoft 3,41,148.38,Luxurious seat cover.,seatandcover,BrandA,17.5,3.01,"(1.5, 1.22, 1.13)","{'Leather': 63, 'Foam': 22}",undefined,2980B9,8B4513,glossy,uv
SC4684,Comfy 7,12,214.2,Luxurious seat cover.,seatandcover,BrandC,17.52,2.96,"(1.05, 1.45, 1.2)","{'Leather': 63, 'Foam': 20}",undefined,F5F5F5,FF5733,unfinished,scratch
SC9678,Comfy 9,21,100.53,Luxurious seat cover.,seatandcover,BrandB,17.48,3.34,"(1.0, 1.16, 1.09)","{'Leather': 76, 'Foam': 39}",undefined,708090,FF0000,glossy,uv
SC4506,UltraSoft 1,31,182.87,Luxurious seat cover.,seatandcover,BrandA,17.53,3.07,"(1.32, 1.13, 1.29)","{'Leather': 71, 'Foam': 40}",high,2F4F4F,FF0000,matte,dust
SC1195,Luxury 9,20,179.56,Scratch-resistant seat cover.,seatandcover,BrandB,17.41,2.8,"(1.42, 1.25, 1.02)","{'Leather': 80, 'Foam': 35}",high,8B4513,FF5733,unfinished,scratch
SC2263,Premium 6,42,179.9,Comfortable seat cover.,seatandcover,BrandA,17.44,3.96,"(1.3, 1.07, 1.25)","{'Leather': 77, 'Foam': 30}",low,2F4F4F,8B4513,unfinished,uv
SC9329,Comfy 6,22,192.83,Luxurious seat cover.,seatandcover,BrandA,17.51,2.64,"(1.44, 1.35, 1.26)","{'Leather': 79, 'Foam': 33}",medium,8B4513,FF0000,unfinished,scratch
SC4276,Luxury 8,5,169.76,Comfortable seat cover.,seatandcover,BrandC,17.49,3.86,"(1.03, 1.14, 1.03)","{'Leather': 63, 'Foam': 29}",undefined,F5F5F5,DAA520,unfinished,light
SC9189,Premium 1,30,197.8,Durable seat cover.,seatandcover,BrandA,17.54,2.71,"(1.5, 1.15, 1.36)","{'Leather': 70, 'Foam': 21}",medium,DAA520,2F4F4F,matte,uv
SC3041,Comfy 2,49,133.44,Scratch-resistant seat cover.,seatandcover,BrandC,17.44,3.86,"(1.04, 1.16, 1.02)","{'Leather': 60, 'Foam': 22}",medium,8B4513,8B4513,glossy,light
SC9067,Luxury 3,16,190.25,Durable seat cover.,seatandcover,BrandC,17.51,2.98,"(1.07, 1.42, 1.06)","{'Leather': 62, 'Foam': 33}",high,2F4F4F,2980B9,unfinished,scratch
SC4619,Premium 5,29,142.54,Durable seat cover.,seatandcover,BrandC,17.48,3.15,"(1.1, 1.35, 1.21)","{'Leather': 73, 'Foam': 23}",medium,D4AF37,FF0000,glossy,uv
SC1637,Luxury 9,23,206.18,Luxurious seat cover.,seatandcover,BrandA,17.59,3.85,"(1.08, 1.13, 1.14)","{'Leather': 67, 'Foam': 31}",high,F5DEB3,FF0000,glossy,dust
SC4074,Premium 7,24,248.62,Luxurious seat cover.,seatandcover,BrandB,17.46,3.08,"(1.17, 1.12, 1.03)","{'Leather': 73, 'Foam': 36}",high,FF5733,708090,unfinished,dust
SC2156,UltraSoft 1,29,100.74,Scratch-resistant seat cover.,seatandcover,BrandC,17.45,3.09,"(1.49, 1.2, 1.29)","{'Leather': 61, 'Foam': 26}",medium,F5F5F5,8B4513,matte,dust
SC9869,Premium 9,2,151.49,Durable seat cover.,seatandcover,BrandA,17.51,2.5,"(1.07, 1.4, 1.48)","{'Leather': 61, 'Foam': 38}",medium,708090,F5F5F5,matte,scratch
SC1311,Luxury 6,37,225.46,Durable seat cover.,seatandcover,BrandA,17.53,2.97,"(1.38, 1.14, 1.08)","{'Leather': 64, 'Foam': 35}",low,708090,DAA520,glossy,dust
SC6074,UltraSoft 8,48,100.44,Luxurious seat cover.,seatandcover,BrandA,17.52,2.92,"(1.12, 1.12, 1.26)","{'Leather': 73, 'Foam': 38}",high,8B4513,2980B9,glossy,scratch
SC8208,Comfy 7,11,113.71,Durable seat cover.,seatandcover,BrandC,17.46,2.91,"(1.08, 1.13, 1.4)","{'Leather': 69, 'Foam': 26}",undefined,F5F5F5,DAA520,matte,dust
SC8042,UltraSoft 4,7,187.05,Durable seat cover.,seatandcover,BrandC,17.48,2.83,"(1.49, 1.45, 1.48)","{'Leather': 70, 'Foam': 34}",undefined,F5F5F5,FF5733,unfinished,scratch
SC8576,Luxury 1,21,188.92,Comfortable seat cover.,seatandcover,BrandC,17.45,3.61,"(1.02, 1.14, 1.02)","{'Leather': 60, 'Foam': 32}",undefined,708090,DAA520,glossy,dust
SC6574,Luxury 1,28,196.92,Scratch-resistant seat cover.,seatandcover,BrandA,17.44,3.41,"(1.39, 1.11, 1.42)","{'Leather': 74, 'Foam': 20}",undefined,2980B9,2F4F4F,matte,dust
SC3934,Luxury 5,41,103.12,Scratch-resistant seat cover.,seatandcover,BrandB,17.41,2.97,"(1.4, 1.17, 1.35)","{'Leather': 61, 'Foam': 23}",undefined,FF5733,8B4513,matte,light
SC8776,Comfy 3,17,133.45,Durable seat cover.,seatandcover,BrandC,17.57,3.59,"(1.0, 1.07, 1.09)","{'Leather': 78, 'Foam': 23}",undefined,2F4F4F,708090,matte,light
SC1768,Comfy 3,1,142.85,Durable seat cover.,seatandcover,BrandB,17.43,2.57,"(1.11, 1.35, 1.26)","{'Leather': 76, 'Foam': 34}",low,F5F5F5,708090,matte,scratch
SC4757,Luxury 6,34,198.89,Luxurious seat cover.,seatandcover,BrandC,17.46,3.88,"(1.22, 1.14, 1.0)","{'Leather': 67, 'Foam': 27}",medium,FF5733,2980B9,matte,light
SC3394,Luxury 9,7,244.35,Durable seat cover.,seatandcover,BrandB,17.58,2.81,"(1.38, 1.09, 1.31)","{'Leather': 69, 'Foam': 31}",high,DAA520,F5DEB3,unfinished,uv
SC5307,Premium 6,33,234.37,Comfortable seat cover.,seatandcover,BrandB,17.44,2.65,"(1.47, 1.26, 1.46)","{'Leather': 65, 'Foam': 37}",low,2980B9,2980B9,unfinished,light
SC7396,Premium 7,3,200.91,Durable seat cover.,seatandcover,BrandC,17.45,3.54,"(1.17, 1.04, 1.2)","{'Leather': 69, 'Foam': 30}",medium,F5F5F5,F5DEB3,matte,light
SC3966,Premium 3,50,165.5,Comfortable seat cover.,seatandcover,BrandC,17.47,3.44,"(1.03, 1.22, 1.08)","{'Leather': 70, 'Foam': 30}",high,708090,DAA520,unfinished,light
SC7004,Luxury 6,14,173.01,Luxurious seat cover.,seatandcover,BrandA,17.53,3.97,"(1.34, 1.5, 1.38)","{'Leather': 76, 'Foam': 33}",undefined,D4AF37,FF5733,glossy,uv
SC2159,Comfy 5,46,215.91,Comfortable seat cover.,seatandcover,BrandA,17.57,3.95,"(1.47, 1.15, 1.27)","{'Leather': 71, 'Foam': 34}",medium,FF0000,F5F5F5,glossy,light
SC9133,Luxury 1,19,110.06,Luxurious seat cover.,seatandcover,BrandA,17.46,3.25,"(1.45, 1.25, 1.47)","{'Leather': 64, 'Foam': 40}",high,8B4513,2F4F4F,glossy,scratch
SC2223,Premium 5,11,192.86,Scratch-resistant seat cover.,seatandcover,BrandB,17.54,3.98,"(1.08, 1.18, 1.47)","{'Leather': 64, 'Foam': 23}",high,D4AF37,708090,glossy,uv
SC6735,Luxury 7,15,245.33,Scratch-resistant seat cover.,seatandcover,BrandA,17.43,2.53,"(1.44, 1.16, 1.43)","{'Leather': 66, 'Foam': 23}",medium,D4AF37,F5DEB3,matte,light
SC1726,UltraSoft 4,8,206.67,Durable seat cover.,seatandcover,BrandA,17.52,3.29,"(1.11, 1.18, 1.41)","{'Leather': 77, 'Foam': 29}",high,DAA520,8B4513,glossy,dust
SC4022,UltraSoft 4,50,155.52,Comfortable seat cover.,seatandcover,BrandA,17.5,2.91,"(1.13, 1.25, 1.29)","{'Leather': 72, 'Foam': 26}",high,2F4F4F,FF5733,glossy,scratch
SC6739,Premium 3,40,213.22,Scratch-resistant seat cover.,seatandcover,BrandB,17.52,3.63,"(1.3, 1.28, 1.36)","{'Leather': 62, 'Foam': 20}",high,2980B9,F5DEB3,matte,scratch
SC7787,Luxury 1,49,214.17,Comfortable seat cover.,seatandcover,BrandB,17.52,2.78,"(1.42, 1.4, 1.0)","{'Leather': 69, 'Foam': 29}",low,D4AF37,2F4F4F,matte,dust
SC8733,Comfy 7,28,208.53,Luxurious seat cover.,seatandcover,BrandA,17.56,3.47,"(1.24, 1.01, 1.25)","{'Leather': 70, 'Foam': 24}",undefined,D4AF37,2F4F4F,matte,scratch
SC3436,Luxury 3,33,237.35,Comfortable seat cover.,seatandcover,BrandA,17.56,3.81,"(1.26, 1.49, 1.37)","{'Leather': 60, 'Foam': 38}",high,8B4513,8B4513,matte,light
SC8254,Premium 2,31,237.19,Durable seat cover.,seatandcover,BrandA,17.51,3.34,"(1.27, 1.11, 1.04)","{'Leather': 61, 'Foam': 27}",high,708090,DAA520,matte,dust
SC5649,Luxury 2,41,156.06,Luxurious seat cover.,seatandcover,BrandC,17.46,3.95,"(1.21, 1.14, 1.02)","{'Leather': 79, 'Foam': 21}",undefined,2F4F4F,2F4F4F,matte,light
SC5102,Luxury 6,13,238.93,Scratch-resistant seat cover.,seatandcover,BrandB,17.57,3.97,"(1.05, 1.41, 1.4)","{'Leather': 63, 'Foam': 25}",low,2F4F4F,D4AF37,unfinished,dust
SC3966,Luxury 5,15,197.26,Comfortable seat cover.,seatandcover,BrandA,17.47,3.84,"(1.21, 1.47, 1.26)","{'Leather': 78, 'Foam': 33}",high,2F4F4F,708090,glossy,dust
SC9343,Comfy 1,45,139.06,Luxurious seat cover.,seatandcover,BrandB,17.48,3.4,"(1.22, 1.11, 1.26)","{'Leather': 78, 'Foam': 27}",high,2980B9,F5F5F5,unfinished,scratch
SC3097,Comfy 7,5,195.17,Durable seat cover.,seatandcover,BrandC,17.4,3.05,"(1.05, 1.3, 1.08)","{'Leather': 73, 'Foam': 22}",low,DAA520,708090,matte,uv
SC4070,Luxury 8,30,244.47,Luxurious seat cover.,seatandcover,BrandA,17.6,3.12,"(1.17, 1.17, 1.31)","{'Leather': 68, 'Foam': 29}",medium,8B4513,2F4F4F,matte,uv
SC6853,Luxury 8,36,219.88,Comfortable seat cover.,seatandcover,BrandB,17.45,3.25,"(1.28, 1.17, 1.19)","{'Leather': 66, 'Foam': 40}",undefined,F5F5F5,FF5733,glossy,scratch
SC6743,Luxury 1,48,178.85,Comfortable seat cover.,seatandcover,BrandC,17.43,3.38,"(1.07, 1.11, 1.04)","{'Leather': 60, 'Foam': 24}",low,FF0000,FF5733,glossy,uv
SC4870,Premium 6,11,168.21,Durable seat cover.,seatandcover,BrandA,17.54,3.12,"(1.48, 1.29, 1.05)","{'Leather': 63, 'Foam': 29}",low,708090,2980B9,unfinished,dust
SC1948,UltraSoft 3,50,109.1,Comfortable seat cover.,seatandcover,BrandC,17.46,3.74,"(1.26, 1.31, 1.08)","{'Leather': 69, 'Foam': 21}",high,F5DEB3,DAA520,unfinished,scratch
SC7920,Comfy 8,18,226.36,Comfortable seat cover.,seatandcover,BrandB,17.44,2.73,"(1.46, 1.01, 1.04)","{'Leather': 63, 'Foam': 36}",undefined,FF0000,FF0000,unfinished,scratch
SC1480,Comfy 5,40,169.55,Comfortable seat cover.,seatandcover,BrandC,17.49,3.17,"(1.03, 1.31, 1.4)","{'Leather': 79, 'Foam': 26}",undefined,2F4F4F,DAA520,unfinished,uv
SC4564,Luxury 6,41,146.23,Durable seat cover.,seatandcover,BrandB,17.58,3.46,"(1.42, 1.46, 1.23)","{'Leather': 73, 'Foam': 23}",high,FF5733,DAA520,glossy,uv
SC3650,UltraSoft 9,45,155.34,Comfortable seat cover.,seatandcover,BrandB,17.56,2.65,"(1.44, 1.13, 1.34)","{'Leather': 70, 'Foam': 25}",undefined,FF0000,FF5733,unfinished,uv
SC9745,UltraSoft 1,1,195.26,Scratch-resistant seat cover.,seatandcover,BrandC,17.51,2.66,"(1.16, 1.45, 1.18)","{'Leather': 77, 'Foam': 31}",medium,2F4F4F,DAA520,matte,light
SC1369,Comfy 9,37,211.33,Durable seat cover.,seatandcover,BrandB,17.52,2.54,"(1.36, 1.19, 1.35)","{'Leather': 61, 'Foam': 27}",undefined,708090,FF5733,unfinished,dust
SC9362,UltraSoft 8,28,153.75,Luxurious seat cover.,seatandcover,BrandB,17.56,2.97,"(1.18, 1.26, 1.37)","{'Leather': 76, 'Foam': 27}",high,2980B9,8B4513,unfinished,dust
SC3124,Luxury 6,42,171.59,Scratch-resistant seat cover.,seatandcover,BrandA,17.41,2.83,"(1.36, 1.29, 1.08)","{'Leather': 71, 'Foam': 22}",high,DAA520,8B4513,glossy,dust
