id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,voltage,amperage,power_inout,avg_lifespan,temperature_rating,battery_type
BA8445,AmpPro 7,28,140.69,Long-lasting battery.,battery,BrandD,17.03,3.17,"(0.35, 0.35, 0.44)","{'Lead': 56, 'Acid': 45}",undefined,15.4,142.4,2192.96,4667,32,lithium-ion
BA7634,PowerMax 9,16,167.36,Reliable battery.,battery,BrandB,17.07,3.92,"(0.38, 0.38, 0.38)","{'Lead': 58, 'Acid': 49}",high,16.3,160.0,2608.0,4270,0,lithium-ion
BA1005,EnergyCore 4,8,161.99,Reliable battery.,battery,BrandB,17.47,5.43,"(0.37, 0.38, 0.33)","{'Lead': 59, 'Acid': 36}",low,16.6,175.1,2906.66,4036,8,alkaline
BA2073,VoltPlus 2,1,192.24,Long-lasting battery.,battery,BrandC,17.28,4.66,"(0.42, 0.38, 0.41)","{'Lead': 64, 'Acid': 34}",medium,12.4,173.7,2153.88,4039,-9,nickel-cadmium
BA9152,PowerMax 2,24,141.24,Long-lasting battery.,battery,BrandC,17.35,3.55,"(0.3, 0.49, 0.38)","{'Lead': 66, 'Acid': 47}",medium,23.6,104.2,2459.12,3912,-9,lead acid
BA6552,PowerMax 4,5,119.9,Long-lasting battery.,battery,BrandC,17.54,3.93,"(0.36, 0.48, 0.38)","{'Lead': 61, 'Acid': 48}",medium,20.4,113.7,2319.48,3235,-6,nickel-cadmium
BA4020,VoltPlus 3,22,157.67,Long-lasting battery.,battery,BrandC,17.53,5.65,"(0.43, 0.45, 0.5)","{'Lead': 58, 'Acid': 39}",medium,15.1,198.5,2997.35,3949,6,alkaline
BA3712,AmpPro 7,14,114.04,Durable battery.,battery,BrandD,17.89,5.18,"(0.34, 0.37, 0.33)","{'Lead': 68, 'Acid': 44}",medium,22.0,160.4,3528.8,3366,18,lithium-ion
BA3302,EnergyCore 5,18,182.16,Reliable battery.,battery,BrandA,17.54,4.3,"(0.43, 0.43, 0.45)","{'Lead': 65, 'Acid': 35}",high,17.6,131.4,2312.64,3416,-4,nickel-cadmium
BA5477,EnergyCore 4,12,214.32,Long-lasting battery.,battery,BrandC,17.77,3.28,"(0.38, 0.39, 0.4)","{'Lead': 56, 'Acid': 50}",medium,21.1,197.3,4163.03,4911,33,lithium-ion
BA3107,VoltPlus 9,39,239.56,Durable battery.,battery,BrandC,17.27,3.8,"(0.46, 0.45, 0.41)","{'Lead': 59, 'Acid': 40}",low,13.3,122.8,1633.24,4619,6,alkaline
BA2786,PowerMax 4,18,102.0,High-capacity battery.,battery,BrandD,17.43,5.92,"(0.33, 0.39, 0.44)","{'Lead': 70, 'Acid': 43}",undefined,17.8,120.0,2136.0,4448,23,lead acid
BA7263,EnergyCore 4,30,242.54,High-capacity battery.,battery,BrandC,17.06,3.65,"(0.33, 0.42, 0.48)","{'Lead': 65, 'Acid': 35}",undefined,18.4,179.5,3302.8,4639,-3,nickel-cadmium
BA8455,AmpPro 3,34,242.56,Durable battery.,battery,BrandD,17.17,5.47,"(0.44, 0.36, 0.39)","{'Lead': 66, 'Acid': 30}",medium,19.2,120.4,2311.68,3677,-7,alkaline
BA2162,PowerMax 1,8,164.62,Reliable battery.,battery,BrandD,17.5,4.85,"(0.34, 0.34, 0.43)","{'Lead': 65, 'Acid': 48}",low,23.6,107.6,2539.36,3035,26,alkaline
BA8981,VoltPlus 3,13,223.16,High-capacity battery.,battery,BrandC,17.85,4.24,"(0.45, 0.46, 0.47)","{'Lead': 69, 'Acid': 46}",high,21.2,108.9,2308.68,4277,39,alkaline
BA4539,EnergyCore 9,23,154.36,Durable battery.,battery,BrandA,17.59,4.45,"(0.33, 0.49, 0.39)","{'Lead': 52, 'Acid': 37}",undefined,23.0,109.9,2527.7,3135,3,alkaline
BA7087,EnergyCore 7,41,131.73,High-capacity battery.,battery,BrandB,17.65,3.97,"(0.42, 0.49, 0.39)","{'Lead': 64, 'Acid': 47}",low,14.3,166.4,2379.52,4399,37,lead acid
BA8411,EnergyCore 5,12,237.36,High-capacity battery.,battery,BrandB,17.14,4.34,"(0.33, 0.44, 0.38)","{'Lead': 63, 'Acid': 42}",low,17.7,160.8,2846.16,4222,-5,lead acid
BA3657,AmpPro 4,6,149.41,High-capacity battery.,battery,BrandC,17.04,5.23,"(0.32, 0.49, 0.32)","{'Lead': 64, 'Acid': 48}",medium,16.1,166.0,2672.6,3028,8,lead acid
BA6800,VoltPlus 2,35,149.39,Reliable battery.,battery,BrandD,17.48,5.38,"(0.44, 0.33, 0.38)","{'Lead': 65, 'Acid': 32}",low,22.3,120.9,2696.07,3686,25,nickel-cadmium
BA8706,PowerMax 9,26,212.2,Durable battery.,battery,BrandC,17.03,4.41,"(0.33, 0.3, 0.33)","{'Lead': 66, 'Acid': 47}",undefined,19.0,121.8,2314.2,4162,16,lithium-ion
BA8073,PowerMax 7,29,182.12,High-capacity battery.,battery,BrandA,17.77,5.11,"(0.43, 0.3, 0.47)","{'Lead': 51, 'Acid': 44}",medium,22.5,179.2,4032.0,4186,-7,lead acid
BA5233,AmpPro 6,9,161.72,Long-lasting battery.,battery,BrandC,17.9,4.7,"(0.43, 0.35, 0.43)","{'Lead': 61, 'Acid': 42}",high,16.7,134.4,2244.48,4423,2,lead acid
BA2445,PowerMax 5,26,161.45,High-capacity battery.,battery,BrandA,17.02,5.67,"(0.41, 0.49, 0.4)","{'Lead': 54, 'Acid': 47}",undefined,20.5,155.3,3183.65,4870,21,alkaline
BA7733,AmpPro 9,37,146.08,Long-lasting battery.,battery,BrandD,17.05,5.26,"(0.39, 0.49, 0.42)","{'Lead': 67, 'Acid': 32}",undefined,17.4,141.9,2469.06,4957,17,nickel-cadmium
BA3061,PowerMax 3,26,142.96,High-capacity battery.,battery,BrandB,17.56,3.26,"(0.44, 0.34, 0.46)","{'Lead': 64, 'Acid': 34}",medium,13.6,149.5,2033.2,4937,47,nickel-cadmium
BA9267,VoltPlus 3,15,218.28,Reliable battery.,battery,BrandB,17.23,4.06,"(0.47, 0.47, 0.41)","{'Lead': 60, 'Acid': 48}",high,17.4,157.9,2747.46,3273,35,alkaline
BA5699,PowerMax 9,11,184.68,Reliable battery.,battery,BrandB,17.5,4.3,"(0.46, 0.42, 0.32)","{'Lead': 61, 'Acid': 42}",medium,17.9,194.2,3476.18,3555,42,lithium-ion
BA1819,EnergyCore 2,27,133.51,Long-lasting battery.,battery,BrandA,17.48,4.26,"(0.43, 0.44, 0.31)","{'Lead': 53, 'Acid': 46}",high,12.3,170.3,2094.69,4711,41,alkaline
BA5525,PowerMax 9,9,214.3,Durable battery.,battery,BrandA,17.48,4.53,"(0.3, 0.34, 0.36)","{'Lead': 66, 'Acid': 36}",low,23.1,191.3,4419.03,4347,34,alkaline
BA3747,AmpPro 4,2,118.63,High-capacity battery.,battery,BrandA,17.86,3.87,"(0.32, 0.5, 0.41)","{'Lead': 62, 'Acid': 36}",high,22.1,196.7,4347.07,3298,0,alkaline
BA7076,PowerMax 5,40,222.07,Long-lasting battery.,battery,BrandA,17.9,5.56,"(0.39, 0.37, 0.33)","{'Lead': 60, 'Acid': 36}",high,24.0,164.4,3945.6,4719,2,lead acid
BA8679,AmpPro 3,34,100.62,Long-lasting battery.,battery,BrandC,17.52,4.95,"(0.31, 0.33, 0.47)","{'Lead': 51, 'Acid': 40}",undefined,21.3,105.0,2236.5,4417,33,nickel-cadmium
BA6382,VoltPlus 8,20,100.38,Long-lasting battery.,battery,BrandB,17.05,4.76,"(0.4, 0.42, 0.34)","{'Lead': 53, 'Acid': 42}",medium,16.6,135.5,2249.3,3475,13,lead acid
BA3957,VoltPlus 3,13,229.3,Long-lasting battery.,battery,BrandC,17.74,3.24,"(0.42, 0.33, 0.44)","{'Lead': 69, 'Acid': 33}",undefined,19.2,127.4,2446.08,3972,21,alkaline
BA8494,EnergyCore 9,14,242.46,Long-lasting battery.,battery,BrandB,17.29,5.33,"(0.44, 0.49, 0.5)","{'Lead': 53, 'Acid': 38}",high,20.3,138.9,2819.67,3036,10,nickel-cadmium
BA7111,PowerMax 8,28,165.26,High-capacity battery.,battery,BrandB,17.45,5.71,"(0.48, 0.38, 0.48)","{'Lead': 60, 'Acid': 35}",low,17.4,177.8,3093.72,3206,29,lithium-ion
BA4119,VoltPlus 6,13,120.68,High-capacity battery.,battery,BrandA,17.42,4.09,"(0.42, 0.46, 0.47)","{'Lead': 58, 'Acid': 45}",low,23.5,177.2,4164.2,4076,47,lead acid
BA7601,VoltPlus 3,37,186.95,Durable battery.,battery,BrandD,17.83,4.76,"(0.38, 0.38, 0.43)","{'Lead': 57, 'Acid': 36}",low,22.1,170.3,3763.63,4658,35,alkaline
BA5809,VoltPlus 2,1,236.09,High-capacity battery.,battery,BrandA,17.34,4.95,"(0.35, 0.39, 0.45)","{'Lead': 52, 'Acid': 50}",undefined,18.6,192.7,3584.22,4377,11,lead acid
BA9356,PowerMax 4,40,235.07,Durable battery.,battery,BrandB,17.54,4.06,"(0.47, 0.46, 0.32)","{'Lead': 64, 'Acid': 43}",medium,13.7,138.8,1901.56,4686,9,lead acid
BA3234,EnergyCore 1,26,240.91,Durable battery.,battery,BrandC,17.17,3.42,"(0.38, 0.49, 0.43)","{'Lead': 53, 'Acid': 30}",high,21.7,163.8,3554.46,4984,24,alkaline
BA8541,VoltPlus 5,9,195.56,Durable battery.,battery,BrandC,17.43,5.18,"(0.47, 0.37, 0.36)","{'Lead': 50, 'Acid': 42}",high,18.0,179.8,3236.4,3232,-2,lithium-ion
BA3908,VoltPlus 2,21,205.88,Durable battery.,battery,BrandB,17.05,3.43,"(0.36, 0.36, 0.39)","{'Lead': 51, 'Acid': 44}",high,13.6,174.9,2378.64,3543,26,nickel-cadmium
BA5620,PowerMax 7,40,136.82,High-capacity battery.,battery,BrandC,17.8,5.67,"(0.49, 0.43, 0.35)","{'Lead': 67, 'Acid': 46}",undefined,21.6,194.3,4196.88,3124,43,lead acid
BA9400,AmpPro 3,46,164.01,Long-lasting battery.,battery,BrandA,17.53,5.69,"(0.31, 0.41, 0.3)","{'Lead': 59, 'Acid': 36}",undefined,14.6,198.3,2895.18,4403,48,nickel-cadmium
BA8556,VoltPlus 8,49,129.46,Long-lasting battery.,battery,BrandC,17.67,3.13,"(0.43, 0.49, 0.45)","{'Lead': 60, 'Acid': 50}",undefined,15.9,104.3,1658.37,4424,13,alkaline
BA9218,VoltPlus 9,50,152.66,High-capacity battery.,battery,BrandC,17.42,4.35,"(0.42, 0.45, 0.36)","{'Lead': 53, 'Acid': 34}",medium,12.2,165.6,2020.32,4841,8,alkaline
BA5962,EnergyCore 4,21,234.94,High-capacity battery.,battery,BrandB,17.79,4.12,"(0.47, 0.4, 0.34)","{'Lead': 62, 'Acid': 48}",medium,13.5,104.6,1412.1,3253,-3,nickel-cadmium
BA2461,PowerMax 6,32,226.06,Reliable battery.,battery,BrandC,17.45,5.39,"(0.36, 0.44, 0.5)","{'Lead': 59, 'Acid': 43}",high,13.4,154.4,2068.96,4291,48,nickel-cadmium
BA7741,AmpPro 9,7,175.08,Reliable battery.,battery,BrandA,17.3,5.23,"(0.46, 0.39, 0.37)","{'Lead': 65, 'Acid': 41}",low,14.8,138.6,2051.28,4946,13,lead acid
BA4125,PowerMax 9,9,184.04,Reliable battery.,battery,BrandA,17.69,4.9,"(0.4, 0.49, 0.45)","{'Lead': 55, 'Acid': 30}",high,23.1,149.4,3451.14,4741,16,nickel-cadmium
BA6835,VoltPlus 5,16,120.82,Long-lasting battery.,battery,BrandB,17.47,3.74,"(0.35, 0.35, 0.3)","{'Lead': 54, 'Acid': 33}",medium,21.2,105.2,2230.24,4284,25,lithium-ion
BA2625,AmpPro 6,50,125.09,Long-lasting battery.,battery,BrandA,17.57,3.92,"(0.41, 0.37, 0.34)","{'Lead': 52, 'Acid': 30}",medium,21.2,188.3,3991.96,4661,34,nickel-cadmium
BA4539,PowerMax 8,26,200.0,Long-lasting battery.,battery,BrandA,17.19,3.48,"(0.3, 0.38, 0.35)","{'Lead': 68, 'Acid': 42}",high,15.6,154.1,2403.96,3636,38,alkaline
BA3645,EnergyCore 3,8,160.16,Durable battery.,battery,BrandC,17.86,5.21,"(0.36, 0.39, 0.44)","{'Lead': 64, 'Acid': 42}",high,13.6,196.4,2671.04,4381,38,nickel-cadmium
BA5839,EnergyCore 3,30,198.42,Reliable battery.,battery,BrandD,17.79,5.97,"(0.4, 0.46, 0.43)","{'Lead': 54, 'Acid': 33}",high,18.6,132.8,2470.08,3223,42,alkaline
BA2134,AmpPro 8,18,162.79,Durable battery.,battery,BrandC,17.16,4.38,"(0.4, 0.35, 0.46)","{'Lead': 67, 'Acid': 50}",undefined,20.1,144.6,2906.46,4484,49,lead acid
BA4545,AmpPro 3,47,138.33,Durable battery.,battery,BrandA,17.22,3.47,"(0.44, 0.37, 0.36)","{'Lead': 68, 'Acid': 47}",medium,15.9,142.0,2257.8,3365,11,alkaline
BA3145,EnergyCore 9,7,190.04,Durable battery.,battery,BrandC,17.83,3.03,"(0.42, 0.32, 0.34)","{'Lead': 56, 'Acid': 43}",medium,17.8,180.7,3216.46,3071,24,lithium-ion
BA6208,PowerMax 9,4,126.61,Reliable battery.,battery,BrandC,17.04,4.26,"(0.39, 0.48, 0.31)","{'Lead': 56, 'Acid': 31}",low,13.2,165.5,2184.6,4273,33,lead acid
BA8897,EnergyCore 1,27,135.95,Long-lasting battery.,battery,BrandC,17.49,4.1,"(0.39, 0.34, 0.4)","{'Lead': 62, 'Acid': 47}",medium,15.5,189.7,2940.35,3832,45,lead acid
BA6444,AmpPro 8,50,121.01,Long-lasting battery.,battery,BrandD,17.31,4.37,"(0.41, 0.37, 0.35)","{'Lead': 70, 'Acid': 43}",undefined,14.9,142.3,2120.27,3977,11,alkaline
BA1115,PowerMax 7,50,207.71,Long-lasting battery.,battery,BrandA,17.7,5.34,"(0.4, 0.37, 0.38)","{'Lead': 67, 'Acid': 38}",high,14.3,137.0,1959.1,4507,23,alkaline
BA5510,PowerMax 6,47,222.38,Reliable battery.,battery,BrandA,17.49,4.41,"(0.37, 0.4, 0.39)","{'Lead': 63, 'Acid': 30}",medium,22.5,173.7,3908.25,3059,5,lead acid
BA6328,VoltPlus 2,11,141.1,High-capacity battery.,battery,BrandB,17.26,3.04,"(0.49, 0.36, 0.37)","{'Lead': 69, 'Acid': 50}",medium,23.7,104.6,2479.02,4584,2,lithium-ion
BA7536,EnergyCore 2,17,177.32,Durable battery.,battery,BrandD,17.33,5.65,"(0.44, 0.48, 0.49)","{'Lead': 70, 'Acid': 30}",medium,23.2,108.8,2524.16,4196,29,lithium-ion
BA3169,EnergyCore 8,49,164.12,Reliable battery.,battery,BrandB,17.36,5.19,"(0.42, 0.3, 0.42)","{'Lead': 63, 'Acid': 37}",high,17.0,106.8,1815.6,3771,41,nickel-cadmium
BA3173,PowerMax 4,13,194.38,Long-lasting battery.,battery,BrandC,17.92,5.21,"(0.35, 0.34, 0.43)","{'Lead': 63, 'Acid': 38}",undefined,20.7,144.2,2984.94,4769,21,lead acid
BA2745,PowerMax 1,25,117.02,Long-lasting battery.,battery,BrandD,17.11,4.51,"(0.39, 0.36, 0.32)","{'Lead': 61, 'Acid': 31}",medium,18.4,124.0,2281.6,3391,6,lead acid
BA2064,VoltPlus 1,24,240.14,Long-lasting battery.,battery,BrandA,17.75,3.81,"(0.4, 0.36, 0.47)","{'Lead': 60, 'Acid': 31}",medium,23.4,187.6,4389.84,3196,20,nickel-cadmium
BA4460,AmpPro 7,16,230.31,Reliable battery.,battery,BrandD,17.1,3.75,"(0.46, 0.37, 0.38)","{'Lead': 61, 'Acid': 47}",undefined,17.0,118.9,2021.3,4542,2,alkaline
BA1127,VoltPlus 3,49,109.97,Long-lasting battery.,battery,BrandA,17.42,3.0,"(0.39, 0.36, 0.36)","{'Lead': 63, 'Acid': 50}",high,20.7,123.8,2562.66,4063,37,nickel-cadmium
BA2122,PowerMax 5,47,192.66,Reliable battery.,battery,BrandD,17.66,3.75,"(0.43, 0.31, 0.42)","{'Lead': 57, 'Acid': 31}",high,13.0,175.4,2280.2,4287,-3,nickel-cadmium
BA7767,AmpPro 6,30,233.61,Durable battery.,battery,BrandC,17.56,3.12,"(0.39, 0.39, 0.42)","{'Lead': 54, 'Acid': 34}",undefined,19.6,100.3,1965.88,3109,34,alkaline
BA7905,VoltPlus 7,1,138.72,Durable battery.,battery,BrandB,17.65,4.71,"(0.4, 0.39, 0.33)","{'Lead': 66, 'Acid': 45}",medium,17.9,175.7,3145.03,3166,20,nickel-cadmium
BA6068,AmpPro 5,2,179.9,Durable battery.,battery,BrandB,17.34,5.47,"(0.41, 0.35, 0.36)","{'Lead': 59, 'Acid': 45}",medium,20.8,139.0,2891.2,4567,31,nickel-cadmium
BA7468,AmpPro 4,24,116.78,Durable battery.,battery,BrandD,17.11,3.08,"(0.32, 0.38, 0.5)","{'Lead': 59, 'Acid': 30}",medium,12.4,127.6,1582.24,3636,24,alkaline
BA4039,EnergyCore 5,28,215.3,Reliable battery.,battery,BrandB,17.65,3.99,"(0.37, 0.31, 0.3)","{'Lead': 57, 'Acid': 30}",medium,22.2,170.9,3793.98,4561,35,lead acid
BA7903,AmpPro 6,37,192.4,High-capacity battery.,battery,BrandB,17.34,4.66,"(0.34, 0.4, 0.34)","{'Lead': 51, 'Acid': 34}",undefined,20.9,194.3,4060.87,4598,14,lead acid
BA8868,VoltPlus 9,25,101.58,Long-lasting battery.,battery,BrandA,17.42,3.1,"(0.36, 0.41, 0.46)","{'Lead': 70, 'Acid': 43}",high,19.0,106.6,2025.4,4026,21,lithium-ion
BA1739,EnergyCore 3,30,116.58,High-capacity battery.,battery,BrandD,17.15,4.96,"(0.4, 0.33, 0.47)","{'Lead': 56, 'Acid': 32}",medium,18.3,115.9,2120.97,3567,17,lead acid
BA9827,VoltPlus 1,44,165.13,High-capacity battery.,battery,BrandC,17.17,3.17,"(0.49, 0.46, 0.37)","{'Lead': 65, 'Acid': 37}",undefined,13.0,134.6,1749.8,4107,41,lithium-ion
BA9438,EnergyCore 3,12,214.92,Long-lasting battery.,battery,BrandD,17.84,3.25,"(0.42, 0.4, 0.5)","{'Lead': 53, 'Acid': 49}",high,18.9,146.9,2776.41,3781,15,nickel-cadmium
BA9736,AmpPro 9,28,150.74,Long-lasting battery.,battery,BrandA,17.52,4.68,"(0.39, 0.38, 0.31)","{'Lead': 63, 'Acid': 49}",medium,19.5,192.7,3757.65,3141,46,nickel-cadmium
BA2090,AmpPro 6,14,223.81,Long-lasting battery.,battery,BrandA,17.58,4.46,"(0.43, 0.38, 0.46)","{'Lead': 50, 'Acid': 36}",medium,12.6,155.4,1958.04,3695,6,lead acid
BA8439,EnergyCore 1,46,161.38,Long-lasting battery.,battery,BrandD,17.26,3.15,"(0.48, 0.35, 0.5)","{'Lead': 68, 'Acid': 35}",undefined,14.3,101.8,1455.74,3592,-2,nickel-cadmium
BA8886,AmpPro 1,46,200.77,Long-lasting battery.,battery,BrandD,17.86,4.15,"(0.33, 0.45, 0.44)","{'Lead': 53, 'Acid': 40}",undefined,20.0,144.4,2888.0,4157,41,nickel-cadmium
BA5054,VoltPlus 8,18,207.38,High-capacity battery.,battery,BrandC,17.48,3.25,"(0.32, 0.49, 0.46)","{'Lead': 56, 'Acid': 39}",medium,14.1,164.8,2323.68,4923,-6,lead acid
BA5183,PowerMax 8,12,193.02,Durable battery.,battery,BrandC,17.87,5.25,"(0.33, 0.42, 0.35)","{'Lead': 65, 'Acid': 32}",low,20.4,147.1,3000.84,4547,6,lithium-ion
BA9736,AmpPro 1,7,229.59,Reliable battery.,battery,BrandC,17.67,4.95,"(0.35, 0.34, 0.4)","{'Lead': 57, 'Acid': 46}",medium,17.9,159.2,2849.68,3479,-6,lithium-ion
BA6539,PowerMax 2,8,212.2,Reliable battery.,battery,BrandD,17.53,4.4,"(0.45, 0.47, 0.49)","{'Lead': 60, 'Acid': 41}",undefined,15.3,194.3,2972.79,3649,-3,alkaline
BA3901,AmpPro 6,31,155.09,Durable battery.,battery,BrandA,17.08,6.0,"(0.4, 0.43, 0.41)","{'Lead': 51, 'Acid': 38}",undefined,21.9,165.4,3622.26,4517,22,alkaline
BA3749,AmpPro 2,14,114.64,Long-lasting battery.,battery,BrandB,17.42,3.91,"(0.45, 0.32, 0.31)","{'Lead': 54, 'Acid': 49}",high,21.6,146.2,3157.92,4826,14,lead acid
BA6912,VoltPlus 4,39,105.43,Reliable battery.,battery,BrandC,17.32,5.28,"(0.49, 0.3, 0.46)","{'Lead': 67, 'Acid': 32}",medium,19.0,124.5,2365.5,4921,1,alkaline
BA5310,AmpPro 8,18,208.92,Reliable battery.,battery,BrandA,17.37,5.11,"(0.43, 0.41, 0.49)","{'Lead': 68, 'Acid': 32}",high,21.6,113.4,2449.44,3080,36,nickel-cadmium
BA8259,EnergyCore 3,21,129.69,Long-lasting battery.,battery,BrandA,17.75,3.16,"(0.31, 0.41, 0.4)","{'Lead': 55, 'Acid': 38}",low,19.7,182.0,3585.4,4926,42,nickel-cadmium
BA6027,PowerMax 7,47,194.49,Reliable battery.,battery,BrandC,17.2,3.05,"(0.37, 0.33, 0.49)","{'Lead': 56, 'Acid': 37}",low,18.1,191.5,3466.15,4222,45,alkaline
BA4392,EnergyCore 4,43,114.31,Long-lasting battery.,battery,BrandB,17.24,4.76,"(0.45, 0.45, 0.4)","{'Lead': 63, 'Acid': 50}",undefined,14.3,183.0,2616.9,4531,-4,nickel-cadmium
BA4564,PowerMax 6,12,110.53,Long-lasting battery.,battery,BrandB,17.16,3.01,"(0.34, 0.31, 0.46)","{'Lead': 66, 'Acid': 40}",high,19.7,136.5,2689.05,3696,6,nickel-cadmium
BA2785,VoltPlus 4,47,232.36,Reliable battery.,battery,BrandB,17.79,5.86,"(0.45, 0.46, 0.47)","{'Lead': 59, 'Acid': 46}",low,12.7,166.6,2115.82,3654,48,lead acid
BA3795,EnergyCore 6,34,104.28,Durable battery.,battery,BrandD,17.12,3.46,"(0.4, 0.38, 0.42)","{'Lead': 52, 'Acid': 47}",medium,13.3,126.9,1687.77,4603,29,lithium-ion
BA6375,PowerMax 1,37,219.67,High-capacity battery.,battery,BrandA,17.72,4.15,"(0.39, 0.45, 0.34)","{'Lead': 64, 'Acid': 49}",medium,22.4,106.4,2383.36,3728,16,lead acid
BA4934,AmpPro 7,3,247.53,Durable battery.,battery,BrandB,17.21,4.28,"(0.33, 0.48, 0.41)","{'Lead': 58, 'Acid': 46}",undefined,13.9,181.2,2518.68,3872,9,lithium-ion
BA5134,EnergyCore 8,20,148.63,Long-lasting battery.,battery,BrandA,17.01,3.69,"(0.39, 0.33, 0.31)","{'Lead': 63, 'Acid': 47}",medium,17.8,129.7,2308.66,3224,29,nickel-cadmium
BA6739,VoltPlus 8,21,203.05,Long-lasting battery.,battery,BrandA,17.7,4.4,"(0.35, 0.41, 0.38)","{'Lead': 56, 'Acid': 39}",medium,20.8,149.7,3113.76,4190,-1,lead acid
BA5755,VoltPlus 4,10,185.58,High-capacity battery.,battery,BrandD,17.86,4.4,"(0.31, 0.43, 0.35)","{'Lead': 55, 'Acid': 39}",high,18.3,183.1,3350.73,3535,37,lithium-ion
BA8499,VoltPlus 8,35,201.42,Durable battery.,battery,BrandA,17.16,4.48,"(0.41, 0.32, 0.43)","{'Lead': 66, 'Acid': 42}",medium,14.2,162.1,2301.82,3950,30,alkaline
BA2323,EnergyCore 7,10,158.38,Reliable battery.,battery,BrandD,17.78,4.98,"(0.36, 0.43, 0.41)","{'Lead': 68, 'Acid': 40}",high,19.5,198.3,3866.85,3797,29,nickel-cadmium
BA8943,EnergyCore 1,37,144.56,Long-lasting battery.,battery,BrandB,17.75,4.47,"(0.31, 0.34, 0.4)","{'Lead': 58, 'Acid': 35}",high,18.8,126.2,2372.56,3120,-4,alkaline
BA2620,VoltPlus 4,18,117.88,Reliable battery.,battery,BrandC,17.76,4.17,"(0.37, 0.46, 0.47)","{'Lead': 53, 'Acid': 49}",medium,13.8,197.3,2722.74,4599,28,alkaline
BA3408,AmpPro 3,37,237.78,High-capacity battery.,battery,BrandB,17.51,3.01,"(0.36, 0.41, 0.49)","{'Lead': 59, 'Acid': 45}",undefined,20.2,170.7,3448.14,4785,8,lead acid
BA7374,EnergyCore 9,42,165.4,Durable battery.,battery,BrandA,17.57,3.55,"(0.39, 0.43, 0.38)","{'Lead': 67, 'Acid': 37}",medium,14.0,136.3,1908.2,3862,13,alkaline
BA2063,EnergyCore 1,28,183.04,Reliable battery.,battery,BrandC,17.34,3.31,"(0.49, 0.36, 0.45)","{'Lead': 62, 'Acid': 39}",high,15.2,101.3,1539.76,4302,2,nickel-cadmium
BA4224,AmpPro 5,41,130.35,High-capacity battery.,battery,BrandD,17.32,3.56,"(0.38, 0.33, 0.46)","{'Lead': 66, 'Acid': 44}",medium,16.6,110.3,1830.98,3548,48,lead acid
BA8891,AmpPro 3,1,185.53,Reliable battery.,battery,BrandC,17.75,4.68,"(0.31, 0.31, 0.49)","{'Lead': 62, 'Acid': 41}",undefined,18.1,119.5,2162.95,4760,24,lead acid
BA3819,VoltPlus 3,45,101.79,Reliable battery.,battery,BrandC,17.92,5.86,"(0.33, 0.49, 0.38)","{'Lead': 59, 'Acid': 46}",low,14.3,112.1,1603.03,3809,-1,alkaline
BA2967,VoltPlus 8,16,221.71,Durable battery.,battery,BrandD,17.23,3.07,"(0.41, 0.35, 0.41)","{'Lead': 51, 'Acid': 44}",undefined,17.2,193.6,3329.92,3460,4,lithium-ion
BA5327,EnergyCore 9,50,172.14,Durable battery.,battery,BrandB,17.66,4.66,"(0.31, 0.42, 0.35)","{'Lead': 55, 'Acid': 49}",medium,12.4,115.1,1427.24,3885,36,lithium-ion
BA3372,PowerMax 3,41,168.37,Durable battery.,battery,BrandB,17.32,3.29,"(0.39, 0.44, 0.47)","{'Lead': 67, 'Acid': 34}",undefined,20.7,170.9,3537.63,4417,43,alkaline
BA6605,AmpPro 2,41,203.01,Reliable battery.,battery,BrandC,17.74,5.68,"(0.43, 0.3, 0.33)","{'Lead': 70, 'Acid': 35}",medium,16.0,109.0,1744.0,4070,-7,lithium-ion
BA1575,VoltPlus 5,25,101.76,Reliable battery.,battery,BrandB,17.29,5.64,"(0.36, 0.44, 0.38)","{'Lead': 53, 'Acid': 50}",low,23.4,106.2,2485.08,3926,21,lithium-ion
BA8783,AmpPro 6,36,226.42,Long-lasting battery.,battery,BrandD,17.31,5.25,"(0.35, 0.33, 0.47)","{'Lead': 53, 'Acid': 31}",low,22.1,160.7,3551.47,3594,5,lead acid
BA5662,AmpPro 8,20,182.41,High-capacity battery.,battery,BrandA,17.54,3.61,"(0.43, 0.46, 0.46)","{'Lead': 57, 'Acid': 49}",low,23.9,151.8,3628.02,4669,44,lead acid
BA1582,EnergyCore 6,9,219.76,Long-lasting battery.,battery,BrandA,17.63,5.68,"(0.45, 0.37, 0.34)","{'Lead': 57, 'Acid': 39}",medium,19.9,171.8,3418.82,3896,50,lithium-ion
BA5869,VoltPlus 5,15,178.32,High-capacity battery.,battery,BrandD,17.01,3.6,"(0.47, 0.32, 0.5)","{'Lead': 50, 'Acid': 44}",low,21.9,138.7,3037.53,3516,33,nickel-cadmium
BA2679,VoltPlus 2,35,193.71,High-capacity battery.,battery,BrandC,17.19,3.6,"(0.43, 0.3, 0.35)","{'Lead': 68, 'Acid': 45}",undefined,20.9,141.5,2957.35,4554,-6,alkaline
BA7649,VoltPlus 8,38,217.27,Durable battery.,battery,BrandD,17.9,5.09,"(0.3, 0.48, 0.31)","{'Lead': 68, 'Acid': 39}",high,13.5,189.1,2552.85,4253,2,nickel-cadmium
