id,name,quantity,price,description,item_type,brand,vat,weight,dimensions,composition,durability,voltage,amperage,power_inout,avg_lifespan,temperature_rating,display_type
IN4306,SmartDash 1,31,438.96,Feature-rich infotainment system.,infotainment,BrandA,17.7,2.26,"(0.96, 0.71, 0.56)","{'Glass': 46, 'Plastic': 45}",low,8.1,1.6,12.96,3240,41,oled
IN6810,AutoConnect 1,49,341.57,Compact infotainment system.,infotainment,BrandA,17.69,2.39,"(0.68, 0.66, 0.89)","{'Glass': 53, 'Plastic': 46}",medium,6.4,2.6,16.64,4065,31,tft
IN2749,AutoConnect 5,19,249.74,Advanced infotainment system.,infotainment,BrandD,17.39,2.39,"(0.92, 0.86, 0.99)","{'Glass': 42, 'Plastic': 48}",undefined,8.1,2.9,23.49,4561,22,oled
IN9045,InfoStar 7,14,239.15,High-resolution infotainment system.,infotainment,BrandC,17.37,2.25,"(0.58, 0.83, 0.89)","{'Glass': 42, 'Plastic': 41}",undefined,10.3,1.1,11.33,3098,40,lcd
IN7133,DriveVision 5,27,424.81,Advanced infotainment system.,infotainment,BrandA,17.68,2.68,"(0.62, 0.74, 0.84)","{'Glass': 40, 'Plastic': 45}",medium,11.2,1.7,19.04,3780,39,oled
IN1443,AutoConnect 9,1,302.25,Compact infotainment system.,infotainment,BrandA,17.56,2.04,"(0.54, 0.68, 0.66)","{'Glass': 48, 'Plastic': 51}",high,10.0,2.1,21.0,4159,-7,lcd
IN2153,AutoConnect 4,10,237.58,Compact infotainment system.,infotainment,BrandB,17.57,2.67,"(0.78, 0.69, 0.57)","{'Glass': 55, 'Plastic': 58}",medium,5.8,2.6,15.08,3287,36,led
IN7257,InfoStar 1,8,210.87,High-resolution infotainment system.,infotainment,BrandD,17.64,2.43,"(0.57, 0.9, 0.6)","{'Glass': 47, 'Plastic': 50}",undefined,8.7,1.6,13.92,3577,14,tft
IN8392,DriveVision 2,1,428.37,Feature-rich infotainment system.,infotainment,BrandA,17.67,2.85,"(0.6, 0.62, 0.52)","{'Glass': 57, 'Plastic': 60}",low,9.8,2.9,28.42,2976,8,led
IN4702,InfoStar 6,45,452.33,Feature-rich infotainment system.,infotainment,BrandA,17.75,2.42,"(0.83, 0.65, 0.73)","{'Glass': 50, 'Plastic': 49}",medium,5.7,1.3,7.41,4944,0,lcd
IN1314,InfoStar 3,21,412.41,Feature-rich infotainment system.,infotainment,BrandB,17.52,2.75,"(0.76, 0.55, 0.65)","{'Glass': 59, 'Plastic': 55}",medium,9.3,1.2,11.16,3564,58,oled
IN4540,AutoConnect 2,32,494.94,High-resolution infotainment system.,infotainment,BrandC,17.64,2.68,"(0.66, 0.84, 0.88)","{'Glass': 44, 'Plastic': 47}",medium,9.8,2.8,27.44,4827,-5,lcd
IN4089,InfoStar 5,6,369.62,Advanced infotainment system.,infotainment,BrandB,17.55,2.19,"(0.82, 0.68, 0.91)","{'Glass': 42, 'Plastic': 44}",high,8.8,2.1,18.48,4845,49,lcd
IN3206,SmartDash 8,48,222.28,High-resolution infotainment system.,infotainment,BrandB,17.28,2.73,"(0.54, 0.94, 0.62)","{'Glass': 41, 'Plastic': 44}",undefined,8.2,2.7,22.14,4160,2,tft
IN7469,AutoConnect 5,17,271.26,Compact infotainment system.,infotainment,BrandC,17.21,2.78,"(0.77, 0.77, 0.61)","{'Glass': 52, 'Plastic': 43}",high,6.6,2.1,13.86,3949,-8,tft
IN9011,SmartDash 4,12,240.87,Feature-rich infotainment system.,infotainment,BrandC,17.58,2.78,"(0.92, 0.91, 0.55)","{'Glass': 56, 'Plastic': 44}",low,9.7,1.9,18.43,4622,18,oled
IN6438,InfoStar 5,26,461.52,High-resolution infotainment system.,infotainment,BrandD,17.15,2.74,"(0.84, 0.62, 0.77)","{'Glass': 44, 'Plastic': 58}",low,6.6,2.6,17.16,3213,17,lcd
IN4821,DriveVision 5,32,451.7,Feature-rich infotainment system.,infotainment,BrandB,17.8,2.71,"(0.52, 0.81, 0.95)","{'Glass': 47, 'Plastic': 51}",low,10.4,2.5,26.0,3451,18,led
IN6775,InfoStar 6,41,370.95,High-resolution infotainment system.,infotainment,BrandD,17.22,2.44,"(0.52, 0.71, 0.63)","{'Glass': 52, 'Plastic': 55}",low,10.8,1.9,20.52,3811,0,tft
IN4230,AutoConnect 8,41,396.44,Compact infotainment system.,infotainment,BrandC,17.07,2.2,"(0.84, 0.97, 0.74)","{'Glass': 41, 'Plastic': 44}",medium,7.3,2.1,15.33,2486,29,tft
IN4928,DriveVision 7,28,247.83,High-resolution infotainment system.,infotainment,BrandB,17.93,2.44,"(0.66, 0.68, 0.74)","{'Glass': 58, 'Plastic': 49}",undefined,8.8,2.0,17.6,2272,7,tft
IN2439,AutoConnect 8,8,209.98,High-resolution infotainment system.,infotainment,BrandA,17.68,2.65,"(0.9, 0.85, 0.94)","{'Glass': 47, 'Plastic': 41}",medium,5.3,2.9,15.37,2784,28,tft
IN3438,DriveVision 3,1,297.54,Feature-rich infotainment system.,infotainment,BrandC,17.45,2.49,"(0.69, 0.67, 0.7)","{'Glass': 50, 'Plastic': 52}",medium,11.9,2.7,32.13,4490,49,tft
IN2359,SmartDash 8,26,204.09,Advanced infotainment system.,infotainment,BrandB,17.95,2.78,"(0.63, 0.57, 0.9)","{'Glass': 46, 'Plastic': 40}",undefined,8.7,1.3,11.31,3438,26,lcd
IN3102,InfoStar 2,33,211.43,Feature-rich infotainment system.,infotainment,BrandA,17.52,2.94,"(0.56, 0.92, 0.73)","{'Glass': 56, 'Plastic': 41}",high,5.5,2.7,14.85,2710,12,oled
IN8589,SmartDash 2,25,372.16,Advanced infotainment system.,infotainment,BrandB,17.26,2.02,"(0.88, 0.78, 0.65)","{'Glass': 44, 'Plastic': 41}",undefined,5.4,2.1,11.34,4463,42,oled
IN3732,AutoConnect 9,32,248.07,Compact infotainment system.,infotainment,BrandC,17.12,2.74,"(0.9, 0.86, 0.83)","{'Glass': 47, 'Plastic': 51}",high,9.6,2.8,26.88,2703,-4,tft
IN4437,SmartDash 1,38,326.04,High-resolution infotainment system.,infotainment,BrandB,17.36,2.24,"(0.68, 0.73, 0.96)","{'Glass': 48, 'Plastic': 51}",low,5.8,1.1,6.38,4037,-9,tft
IN4242,DriveVision 5,18,494.58,Compact infotainment system.,infotainment,BrandC,17.32,2.75,"(0.59, 0.51, 0.57)","{'Glass': 57, 'Plastic': 47}",high,10.6,2.4,25.44,3581,46,lcd
IN8592,SmartDash 9,29,431.59,Feature-rich infotainment system.,infotainment,BrandA,17.19,2.65,"(0.64, 0.69, 0.89)","{'Glass': 52, 'Plastic': 48}",medium,5.6,1.6,8.96,3634,31,tft
IN9134,SmartDash 7,20,330.56,Compact infotainment system.,infotainment,BrandA,17.2,2.91,"(0.81, 0.98, 0.63)","{'Glass': 42, 'Plastic': 59}",medium,5.3,2.9,15.37,3585,18,tft
IN6327,SmartDash 5,19,482.02,Compact infotainment system.,infotainment,BrandC,17.41,2.48,"(0.9, 0.99, 0.96)","{'Glass': 59, 'Plastic': 60}",medium,9.8,2.4,23.52,2183,14,oled
IN8604,SmartDash 1,12,340.74,Feature-rich infotainment system.,infotainment,BrandB,17.18,2.93,"(0.8, 0.67, 0.94)","{'Glass': 51, 'Plastic': 57}",high,6.3,1.8,11.34,3621,41,lcd
IN2939,AutoConnect 6,49,414.21,Feature-rich infotainment system.,infotainment,BrandB,17.95,2.47,"(0.74, 0.72, 0.62)","{'Glass': 58, 'Plastic': 54}",medium,9.1,2.2,20.02,3003,-8,led
IN5815,DriveVision 4,6,462.45,High-resolution infotainment system.,infotainment,BrandD,17.47,2.18,"(0.66, 0.98, 0.5)","{'Glass': 42, 'Plastic': 43}",undefined,5.1,2.2,11.22,3855,-4,lcd
IN4788,DriveVision 3,47,298.59,Compact infotainment system.,infotainment,BrandD,17.96,2.21,"(0.62, 0.6, 0.76)","{'Glass': 41, 'Plastic': 44}",low,5.7,2.9,16.53,2596,45,oled
IN1060,AutoConnect 4,17,489.97,Compact infotainment system.,infotainment,BrandB,17.95,2.73,"(0.6, 0.76, 0.71)","{'Glass': 52, 'Plastic': 59}",undefined,11.4,2.0,22.8,3172,26,tft
IN1640,SmartDash 5,46,415.63,High-resolution infotainment system.,infotainment,BrandC,17.92,2.66,"(0.74, 0.56, 0.69)","{'Glass': 51, 'Plastic': 41}",undefined,5.3,3.0,15.9,3689,22,lcd
IN1245,AutoConnect 3,50,380.3,Advanced infotainment system.,infotainment,BrandD,17.89,2.46,"(0.84, 0.73, 0.75)","{'Glass': 53, 'Plastic': 48}",medium,11.9,1.2,14.28,2139,23,lcd
IN2699,InfoStar 3,18,328.39,High-resolution infotainment system.,infotainment,BrandB,17.59,2.18,"(0.53, 1.0, 0.61)","{'Glass': 47, 'Plastic': 40}",low,11.1,1.3,14.43,4200,37,tft
IN9089,SmartDash 1,25,497.42,High-resolution infotainment system.,infotainment,BrandA,17.3,2.18,"(0.98, 0.68, 0.77)","{'Glass': 49, 'Plastic': 48}",undefined,9.4,1.7,15.98,4285,52,tft
IN1314,InfoStar 6,10,466.38,Advanced infotainment system.,infotainment,BrandA,17.88,2.32,"(0.72, 0.88, 0.83)","{'Glass': 53, 'Plastic': 60}",low,9.3,1.1,10.23,2270,54,tft
IN8447,AutoConnect 7,19,424.58,Advanced infotainment system.,infotainment,BrandD,17.42,2.52,"(0.95, 0.56, 0.68)","{'Glass': 60, 'Plastic': 53}",undefined,11.6,1.9,22.04,3740,11,oled
IN2039,DriveVision 1,50,347.38,Feature-rich infotainment system.,infotainment,BrandA,17.48,2.21,"(0.7, 0.93, 0.93)","{'Glass': 40, 'Plastic': 58}",high,9.3,2.5,23.25,2410,35,oled
IN6832,DriveVision 3,9,312.4,High-resolution infotainment system.,infotainment,BrandB,17.81,2.82,"(0.77, 0.67, 0.9)","{'Glass': 48, 'Plastic': 43}",medium,11.1,2.3,25.53,4630,43,led
IN7052,SmartDash 6,17,346.1,High-resolution infotainment system.,infotainment,BrandA,17.29,2.6,"(0.5, 0.79, 0.79)","{'Glass': 60, 'Plastic': 57}",low,7.8,2.3,17.94,4901,56,tft
IN8855,InfoStar 7,2,302.42,Advanced infotainment system.,infotainment,BrandA,17.6,2.33,"(0.69, 0.79, 0.96)","{'Glass': 42, 'Plastic': 41}",low,10.3,1.3,13.39,2391,14,tft
IN8496,SmartDash 7,31,272.7,Feature-rich infotainment system.,infotainment,BrandC,17.5,2.63,"(0.5, 0.77, 0.69)","{'Glass': 51, 'Plastic': 44}",undefined,6.0,3.0,18.0,3896,55,lcd
IN2036,SmartDash 7,20,272.32,High-resolution infotainment system.,infotainment,BrandD,17.73,2.57,"(0.72, 0.73, 0.54)","{'Glass': 51, 'Plastic': 52}",medium,10.0,1.4,14.0,4630,52,led
IN9789,SmartDash 7,7,200.66,Feature-rich infotainment system.,infotainment,BrandC,17.46,2.34,"(0.76, 0.79, 0.58)","{'Glass': 57, 'Plastic': 45}",medium,8.6,2.2,18.92,2547,26,oled
IN1222,DriveVision 2,4,459.55,Feature-rich infotainment system.,infotainment,BrandD,17.5,2.46,"(0.66, 0.65, 0.86)","{'Glass': 46, 'Plastic': 50}",low,8.8,1.9,16.72,2401,11,lcd
IN5652,DriveVision 2,1,237.53,High-resolution infotainment system.,infotainment,BrandD,17.11,2.29,"(0.81, 0.97, 0.56)","{'Glass': 48, 'Plastic': 46}",low,5.6,2.2,12.32,4997,36,lcd
IN4691,AutoConnect 3,26,354.83,Advanced infotainment system.,infotainment,BrandA,17.46,2.9,"(0.85, 0.76, 0.68)","{'Glass': 42, 'Plastic': 41}",undefined,8.8,1.8,15.84,3833,46,led
IN2552,SmartDash 1,31,424.4,Compact infotainment system.,infotainment,BrandD,17.49,2.62,"(0.69, 0.71, 0.93)","{'Glass': 57, 'Plastic': 56}",undefined,6.0,2.1,12.6,4718,28,oled
IN4960,SmartDash 9,20,378.52,Compact infotainment system.,infotainment,BrandC,17.87,2.6,"(0.51, 0.95, 0.56)","{'Glass': 41, 'Plastic': 55}",low,11.9,1.5,17.85,3454,32,lcd
IN5429,DriveVision 5,44,322.86,Feature-rich infotainment system.,infotainment,BrandB,17.39,2.17,"(0.53, 0.52, 0.69)","{'Glass': 43, 'Plastic': 44}",undefined,5.3,2.7,14.31,4813,7,tft
IN5797,AutoConnect 3,15,387.98,Feature-rich infotainment system.,infotainment,BrandB,17.22,2.35,"(0.5, 0.85, 0.92)","{'Glass': 51, 'Plastic': 53}",undefined,9.7,2.6,25.22,2979,21,lcd
IN9081,DriveVision 6,22,411.92,Feature-rich infotainment system.,infotainment,BrandA,17.79,2.73,"(0.5, 0.78, 0.59)","{'Glass': 50, 'Plastic': 47}",medium,7.1,2.5,17.75,3507,28,lcd
IN8416,AutoConnect 5,39,325.58,Advanced infotainment system.,infotainment,BrandA,17.58,2.57,"(0.65, 0.54, 0.57)","{'Glass': 52, 'Plastic': 49}",medium,11.2,2.2,24.64,4714,31,tft
IN7539,AutoConnect 8,14,415.82,High-resolution infotainment system.,infotainment,BrandA,17.54,2.99,"(0.73, 0.8, 0.84)","{'Glass': 48, 'Plastic': 49}",medium,9.4,1.2,11.28,3390,27,oled
IN1935,SmartDash 9,49,424.36,Advanced infotainment system.,infotainment,BrandA,17.34,2.12,"(0.91, 0.66, 0.69)","{'Glass': 48, 'Plastic': 58}",high,9.0,1.6,14.4,4451,36,tft
IN8170,DriveVision 1,45,456.06,Advanced infotainment system.,infotainment,BrandA,17.46,2.07,"(0.66, 0.68, 0.77)","{'Glass': 51, 'Plastic': 56}",low,8.7,1.1,9.57,4337,33,oled
IN5086,InfoStar 4,6,256.65,High-resolution infotainment system.,infotainment,BrandD,17.66,2.39,"(0.96, 0.76, 0.85)","{'Glass': 56, 'Plastic': 54}",low,11.0,1.6,17.6,2045,17,tft
IN7952,SmartDash 1,27,460.92,High-resolution infotainment system.,infotainment,BrandB,17.08,2.86,"(0.51, 0.63, 0.55)","{'Glass': 45, 'Plastic': 60}",medium,7.2,1.4,10.08,4425,44,led
IN8960,DriveVision 9,29,326.5,High-resolution infotainment system.,infotainment,BrandC,17.69,2.92,"(0.99, 0.79, 0.83)","{'Glass': 55, 'Plastic': 41}",medium,5.9,1.7,10.03,3117,19,lcd
IN1495,InfoStar 7,27,271.61,Compact infotainment system.,infotainment,BrandD,17.03,2.42,"(0.83, 0.91, 0.99)","{'Glass': 43, 'Plastic': 54}",high,6.5,2.2,14.3,3371,4,led
IN9984,SmartDash 1,19,229.47,Advanced infotainment system.,infotainment,BrandB,17.59,2.65,"(0.64, 0.52, 0.55)","{'Glass': 60, 'Plastic': 54}",medium,10.6,1.1,11.66,3570,51,tft
IN4855,DriveVision 1,40,489.89,Advanced infotainment system.,infotainment,BrandC,17.75,2.83,"(0.61, 0.71, 0.62)","{'Glass': 50, 'Plastic': 49}",high,6.3,2.1,13.23,2498,53,led
IN4196,SmartDash 3,36,216.16,Compact infotainment system.,infotainment,BrandD,17.38,2.23,"(0.7, 0.53, 0.55)","{'Glass': 53, 'Plastic': 51}",low,12.0,2.7,32.4,4880,7,oled
IN6313,DriveVision 7,33,434.89,High-resolution infotainment system.,infotainment,BrandD,17.68,2.2,"(0.9, 0.74, 0.76)","{'Glass': 44, 'Plastic': 40}",medium,11.2,1.8,20.16,2559,10,oled
IN1765,DriveVision 2,15,385.18,Compact infotainment system.,infotainment,BrandD,17.93,2.41,"(0.56, 0.53, 0.92)","{'Glass': 44, 'Plastic': 41}",high,5.2,2.0,10.4,2065,20,led
IN2756,AutoConnect 4,11,271.96,Feature-rich infotainment system.,infotainment,BrandD,17.52,2.32,"(0.66, 0.58, 0.65)","{'Glass': 59, 'Plastic': 60}",undefined,10.1,2.3,23.23,4250,57,lcd
IN6493,DriveVision 4,23,450.54,Feature-rich infotainment system.,infotainment,BrandB,17.66,2.79,"(0.68, 0.9, 0.63)","{'Glass': 55, 'Plastic': 42}",undefined,5.5,2.2,12.1,3347,-8,led
IN7810,DriveVision 9,23,337.71,Advanced infotainment system.,infotainment,BrandA,17.19,2.03,"(0.91, 0.59, 0.77)","{'Glass': 58, 'Plastic': 48}",low,5.7,1.4,7.98,2491,15,lcd
IN7636,InfoStar 5,21,219.27,Advanced infotainment system.,infotainment,BrandC,17.26,2.81,"(0.89, 0.69, 0.55)","{'Glass': 40, 'Plastic': 43}",high,6.4,1.9,12.16,2314,21,lcd
IN7595,AutoConnect 5,29,396.55,Compact infotainment system.,infotainment,BrandC,17.96,2.95,"(0.89, 0.78, 0.92)","{'Glass': 41, 'Plastic': 54}",high,10.7,1.6,17.12,2514,47,led
IN6430,InfoStar 2,24,317.56,Compact infotainment system.,infotainment,BrandB,17.56,2.13,"(0.65, 0.53, 0.62)","{'Glass': 51, 'Plastic': 53}",low,10.7,2.9,31.03,3651,18,tft
IN4311,SmartDash 8,26,335.14,Advanced infotainment system.,infotainment,BrandA,17.77,2.41,"(0.82, 0.8, 0.82)","{'Glass': 59, 'Plastic': 40}",medium,10.2,1.7,17.34,3432,18,oled
IN2951,SmartDash 7,42,247.51,Feature-rich infotainment system.,infotainment,BrandA,17.34,2.51,"(0.86, 0.62, 0.63)","{'Glass': 42, 'Plastic': 50}",undefined,7.6,2.6,19.76,3109,27,tft
IN5113,InfoStar 2,48,416.19,High-resolution infotainment system.,infotainment,BrandB,17.6,2.03,"(0.83, 0.64, 0.71)","{'Glass': 54, 'Plastic': 47}",medium,5.1,1.1,5.61,2668,56,lcd
IN9385,SmartDash 3,34,351.46,High-resolution infotainment system.,infotainment,BrandB,17.91,2.03,"(0.66, 0.92, 0.67)","{'Glass': 45, 'Plastic': 43}",medium,9.9,1.5,14.85,2352,-10,lcd
IN2030,SmartDash 5,8,312.08,Advanced infotainment system.,infotainment,BrandA,17.14,2.71,"(0.55, 0.89, 0.78)","{'Glass': 50, 'Plastic': 41}",low,8.0,2.1,16.8,2536,55,tft
IN9520,InfoStar 5,46,388.42,High-resolution infotainment system.,infotainment,BrandB,17.8,2.43,"(0.65, 0.69, 0.55)","{'Glass': 49, 'Plastic': 56}",high,5.0,2.6,13.0,2261,45,lcd
IN7512,InfoStar 9,26,480.22,Advanced infotainment system.,infotainment,BrandC,17.55,2.52,"(0.87, 0.96, 0.58)","{'Glass': 51, 'Plastic': 54}",medium,5.5,1.8,9.9,3057,50,lcd
IN1780,SmartDash 4,39,214.44,High-resolution infotainment system.,infotainment,BrandA,17.61,2.95,"(0.65, 0.99, 0.95)","{'Glass': 46, 'Plastic': 46}",high,10.5,2.6,27.3,4479,45,oled
IN8458,AutoConnect 6,48,405.2,Feature-rich infotainment system.,infotainment,BrandB,17.89,2.45,"(0.63, 0.53, 0.66)","{'Glass': 54, 'Plastic': 57}",undefined,5.3,2.5,13.25,4092,-1,tft
IN6955,AutoConnect 9,47,379.49,Compact infotainment system.,infotainment,BrandD,17.12,2.25,"(0.89, 0.67, 0.58)","{'Glass': 44, 'Plastic': 40}",undefined,9.9,2.3,22.77,3582,28,led
IN9508,SmartDash 6,16,332.84,Feature-rich infotainment system.,infotainment,BrandD,17.79,2.11,"(0.64, 0.89, 0.83)","{'Glass': 52, 'Plastic': 45}",low,6.5,1.6,10.4,4094,30,lcd
IN9986,SmartDash 5,17,263.99,Feature-rich infotainment system.,infotainment,BrandD,17.84,2.56,"(0.89, 0.64, 0.63)","{'Glass': 55, 'Plastic': 56}",high,10.1,1.2,12.12,3890,37,tft
IN3333,AutoConnect 7,26,498.42,Feature-rich infotainment system.,infotainment,BrandB,17.86,2.86,"(0.54, 0.69, 0.97)","{'Glass': 47, 'Plastic': 43}",undefined,9.2,1.8,16.56,2249,41,lcd
IN2798,SmartDash 2,49,363.47,Feature-rich infotainment system.,infotainment,BrandD,17.38,2.17,"(0.54, 0.92, 0.86)","{'Glass': 44, 'Plastic': 41}",undefined,6.2,2.0,12.4,4675,24,oled
IN6690,InfoStar 8,30,223.47,Compact infotainment system.,infotainment,BrandA,17.8,2.07,"(0.88, 0.95, 0.62)","{'Glass': 52, 'Plastic': 54}",high,8.1,2.9,23.49,2432,14,tft
IN3689,DriveVision 1,22,438.41,Feature-rich infotainment system.,infotainment,BrandD,17.98,2.42,"(0.68, 0.5, 0.71)","{'Glass': 59, 'Plastic': 42}",undefined,10.6,2.5,26.5,2526,35,led
IN1214,InfoStar 7,45,401.38,Feature-rich infotainment system.,infotainment,BrandA,17.78,2.65,"(0.8, 0.86, 0.59)","{'Glass': 42, 'Plastic': 50}",medium,7.5,2.1,15.75,3337,40,led
IN5064,DriveVision 8,11,420.28,Advanced infotainment system.,infotainment,BrandA,17.86,2.1,"(0.85, 0.98, 0.7)","{'Glass': 57, 'Plastic': 57}",undefined,5.7,2.8,15.96,2797,-5,oled
IN8776,AutoConnect 7,50,255.98,Advanced infotainment system.,infotainment,BrandA,17.89,2.1,"(0.65, 0.65, 0.6)","{'Glass': 60, 'Plastic': 44}",medium,10.2,2.6,26.52,4039,35,lcd
IN1665,AutoConnect 2,26,396.93,Compact infotainment system.,infotainment,BrandC,17.98,2.39,"(0.64, 0.86, 0.86)","{'Glass': 58, 'Plastic': 49}",low,11.1,1.7,18.87,2777,8,oled
IN7375,SmartDash 3,2,285.77,High-resolution infotainment system.,infotainment,BrandB,17.36,2.38,"(0.86, 0.82, 0.6)","{'Glass': 58, 'Plastic': 42}",undefined,5.2,2.3,11.96,4853,23,oled
IN5332,InfoStar 1,4,399.49,High-resolution infotainment system.,infotainment,BrandA,17.92,2.07,"(0.59, 0.97, 0.67)","{'Glass': 54, 'Plastic': 55}",low,7.7,2.4,18.48,4402,37,lcd
IN8688,InfoStar 4,17,273.82,High-resolution infotainment system.,infotainment,BrandA,17.99,2.41,"(0.53, 0.93, 0.64)","{'Glass': 57, 'Plastic': 56}",low,10.2,1.4,14.28,4065,-4,oled
IN5356,DriveVision 1,37,486.76,High-resolution infotainment system.,infotainment,BrandB,18.0,2.28,"(0.61, 0.54, 0.62)","{'Glass': 50, 'Plastic': 55}",medium,9.8,1.6,15.68,4296,-5,oled
IN3986,AutoConnect 5,45,257.17,Compact infotainment system.,infotainment,BrandA,18.0,2.94,"(0.62, 0.9, 0.99)","{'Glass': 56, 'Plastic': 60}",high,6.4,2.1,13.44,2151,47,lcd
IN7466,AutoConnect 4,26,289.99,Compact infotainment system.,infotainment,BrandB,17.33,2.6,"(0.92, 0.86, 0.69)","{'Glass': 46, 'Plastic': 42}",medium,7.6,1.6,12.16,3122,38,led
IN4965,InfoStar 8,9,455.09,Feature-rich infotainment system.,infotainment,BrandD,17.68,2.27,"(0.61, 0.97, 0.86)","{'Glass': 50, 'Plastic': 40}",low,6.8,2.8,19.04,3910,15,tft
IN8645,DriveVision 7,20,261.89,Compact infotainment system.,infotainment,BrandB,17.48,2.3,"(0.7, 0.58, 0.75)","{'Glass': 57, 'Plastic': 56}",low,11.0,1.1,12.1,2180,18,oled
IN5482,AutoConnect 9,42,271.68,Feature-rich infotainment system.,infotainment,BrandC,17.9,2.72,"(0.61, 0.65, 0.76)","{'Glass': 59, 'Plastic': 50}",undefined,8.4,1.4,11.76,3422,60,lcd
IN2216,InfoStar 1,21,486.62,High-resolution infotainment system.,infotainment,BrandD,17.33,2.99,"(0.96, 0.77, 0.53)","{'Glass': 43, 'Plastic': 43}",low,7.5,1.7,12.75,3828,11,oled
IN4040,AutoConnect 9,43,404.6,Advanced infotainment system.,infotainment,BrandD,17.38,2.83,"(0.96, 0.58, 0.84)","{'Glass': 45, 'Plastic': 48}",high,5.3,2.6,13.78,4977,60,led
IN8559,DriveVision 5,21,264.25,Advanced infotainment system.,infotainment,BrandB,17.86,2.89,"(0.66, 0.86, 0.77)","{'Glass': 49, 'Plastic': 46}",undefined,11.8,2.3,27.14,2587,52,led
IN9508,AutoConnect 2,36,385.52,Feature-rich infotainment system.,infotainment,BrandC,17.28,2.06,"(0.98, 0.79, 0.93)","{'Glass': 48, 'Plastic': 48}",high,7.8,2.4,18.72,4473,49,led
IN1384,AutoConnect 6,50,439.05,High-resolution infotainment system.,infotainment,BrandB,17.02,2.27,"(0.54, 0.89, 0.67)","{'Glass': 40, 'Plastic': 51}",low,11.7,1.5,17.55,2121,12,lcd
IN4703,SmartDash 2,8,201.21,Compact infotainment system.,infotainment,BrandD,17.91,2.89,"(0.78, 0.77, 0.57)","{'Glass': 50, 'Plastic': 44}",high,6.8,1.7,11.56,3860,38,lcd
IN9068,DriveVision 2,21,330.91,Advanced infotainment system.,infotainment,BrandC,17.17,2.25,"(0.78, 0.86, 0.64)","{'Glass': 42, 'Plastic': 55}",medium,6.7,2.7,18.09,3684,51,led
IN5342,SmartDash 8,23,468.5,High-resolution infotainment system.,infotainment,BrandB,17.05,2.07,"(0.73, 0.65, 0.67)","{'Glass': 47, 'Plastic': 44}",high,11.0,2.7,29.7,2303,39,lcd
IN9854,SmartDash 4,17,398.91,Compact infotainment system.,infotainment,BrandA,17.01,2.79,"(0.64, 0.6, 0.83)","{'Glass': 52, 'Plastic': 46}",undefined,7.7,1.4,10.78,4015,46,lcd
IN2626,SmartDash 9,4,245.74,Feature-rich infotainment system.,infotainment,BrandC,17.43,2.9,"(0.51, 0.71, 0.69)","{'Glass': 41, 'Plastic': 42}",undefined,6.0,2.0,12.0,3072,43,lcd
IN3538,DriveVision 4,7,208.41,Advanced infotainment system.,infotainment,BrandB,17.47,2.71,"(0.7, 0.62, 0.78)","{'Glass': 50, 'Plastic': 48}",low,6.9,2.9,20.01,3841,38,oled
IN9953,InfoStar 9,13,240.6,Compact infotainment system.,infotainment,BrandA,17.54,2.72,"(0.63, 0.85, 0.6)","{'Glass': 47, 'Plastic': 43}",low,10.7,1.8,19.26,4198,22,tft
IN8524,DriveVision 2,36,289.56,Advanced infotainment system.,infotainment,BrandC,17.51,2.1,"(0.61, 0.85, 0.97)","{'Glass': 55, 'Plastic': 40}",undefined,10.5,2.3,24.15,2737,23,lcd
IN9292,InfoStar 8,24,395.0,Advanced infotainment system.,infotainment,BrandA,17.66,2.95,"(0.73, 0.69, 0.99)","{'Glass': 51, 'Plastic': 44}",undefined,8.8,3.0,26.4,2241,33,lcd
IN3903,InfoStar 5,15,352.96,High-resolution infotainment system.,infotainment,BrandD,17.51,2.86,"(0.95, 0.54, 0.95)","{'Glass': 49, 'Plastic': 52}",medium,7.3,2.3,16.79,2148,24,tft
IN5298,DriveVision 7,2,352.66,Advanced infotainment system.,infotainment,BrandA,17.86,2.25,"(0.67, 0.73, 0.66)","{'Glass': 40, 'Plastic': 45}",medium,6.2,2.9,17.98,4148,11,oled
IN8542,AutoConnect 3,12,263.35,Feature-rich infotainment system.,infotainment,BrandA,17.95,2.12,"(0.76, 0.61, 0.99)","{'Glass': 50, 'Plastic': 60}",low,11.6,1.1,12.76,3381,32,lcd
IN6061,InfoStar 5,5,442.35,Advanced infotainment system.,infotainment,BrandA,17.61,2.15,"(0.83, 0.99, 0.81)","{'Glass': 48, 'Plastic': 48}",undefined,11.9,1.6,19.04,4694,7,lcd
IN3526,SmartDash 8,31,337.23,Feature-rich infotainment system.,infotainment,BrandB,17.13,2.26,"(0.61, 0.78, 0.63)","{'Glass': 52, 'Plastic': 50}",undefined,8.4,1.6,13.44,3000,15,led
IN4943,SmartDash 1,31,347.04,Feature-rich infotainment system.,infotainment,BrandD,17.86,2.28,"(0.73, 0.85, 0.78)","{'Glass': 60, 'Plastic': 48}",high,11.0,1.3,14.3,2866,-5,tft
IN5874,DriveVision 9,19,393.31,High-resolution infotainment system.,infotainment,BrandB,17.09,2.36,"(0.58, 0.82, 0.88)","{'Glass': 48, 'Plastic': 45}",low,5.9,3.0,17.7,2344,43,tft
